"","cocktails_name","ingredient_1","ingredient_2","ingredient_3","ingredient_4","ingredient_5","ingredient_6","ingredient_7","ingredient_8","ingredient_9","ingredient_10","ingredient_11","ingredient_12","abv","volume(ml)"
"26","Amaretto Sunrise","Amaretto:45.0","Orange Juice:90.0","Grenadine Syrup:15.0","Orange Slice","","","","","","","","",8.3,150
"27","Amarula and Eve","Amarula Cream:37.5","Citrus Vodka:12.5","Lychee Juice:65.0","Ruby Red Grapefruit Juice:20.0","Lychee Fruit","","","","","","","",8.4,135
"28","American Collins","Premium Gin:37.5","Simple Syrup:20.0","Lemon Juice:12.5","4 Bing Cherries","8 Blueberries","Soda Water","Lemon Wheel","","","","","",19.8,70
"29","Americano","Campari:25.0","Sweet Vermouth:25.0","Soda Water:1.0(dash)","Lemon Peel","","","","","","","","",18.5,51
"30","Anaconda","Tennesse Whiskey:12.5","White Sambuca:12.5","","","","","","","","","","",37.5,25
"31","Anani Punch","Dark Rum:50.0","Orange Juice:25.0","Pineapple Juice:12.5","Passion Fruit Syrup:12.5","","","","","","","","",19.8,100
"32","Anejo HighBall","Anejo Rum:37.5","Lime Juice:20.0","Orange Curacao:15.0","Angostura Bitters:3.0(dash)","Lemon Slice","","","","","","","",24.2,75
"33","Angel Delight","Triple Sec:20.0","Gin:20.0","Cream:25.0","Grenadine Syrup:2.0(dash)","","","","","","","","",23.6,67
"35","Angels Tit","White Crème de Cacao:10.0","Maraschino Liqueur:10.0","Half-And- Half:10.0","Maraschino Cherry","","","","","","","","",20,30
"36","Anita Byrant","Vodka:50.0","Fresh Apple Juice:100.0","Lemon Slice","","","","","","","","","",13.2,150
"37","Anna Kournikova","Vodka:50.0","Coffee Liqueur:20.0","Skimmed Milk:30.0","","","","","","","","","",27.7,100
"38","AntiFreeze","Blood Orange Vodka:37.5","Blue Curacao:12.5","Orange Juice:12.5","","","","","","","","","",33.3,62
"39","Aperol Sunrise","Tequila:45.0","Orange Juice:90.0","Aperol Orange Liqueur:15.0","Orange Slice","","","","","","","","",16.4,150
"40","Apocalypse Now","Dry Vermouth:10.0","Irish Cream Liqueur:10.0","Tequila:10.0","","","","","","","","","",31.3,30
"41","Apple Cin","Apple Vodka:30.0","Spiced Rum:20.0","Cranberry Juice:25.0","Simple Syrup:12.5","Cinnamon","","","","","","","",9.6,88
"42","Apple Sour","Bourbon Whiskey:37.5","Triple Sec:20.0","Apple Juice:30.0","Lemon Juice:5.0","Orange Bitters:2.0(dash)","","","","","","","",24.3,94
"43","Appletini","Vodka:40.0","Apple Schapps:15.0","Triple Sec:15.0","Apple Slice","","","","","","","","",34.6,70
"45","Apricot Fizz","Bourbon Whiskey:25.0","Apricot Brandy:25.0","Lemon Juice:37.5","Old Fashioned Bitters:3.0(dash)","Top-Up Lemonade","","","","","","","",20.5,90
"46","Apricot Martini","Vodka:37.5","Apricot Brandy:20.0","Lemon Juice:25.0","Angostura Bitters:1.0(dash)","Simple Syrup:12.5","Lemon Zest","","","","","","",23.1,96
"47","Apricot Sour","Bourbon Whiskey:37.5","Apricot Brandy:12.5","Apple Juice:25.0","Lemon Juice:20.0","2 spoons Apricot Jam","","","","","","","",20.2,95
"48","April Rain","Vodka:50.0","Dry Vermouth:12.5","Lime Juice:12.5","Lime Peel","","","","","","","","",32.9,75
"49","April Shower","Brandy:25.0","Yellow Chartreuse:5.0","Orange Juice:25.0","","","","","","","","","",30.4,55
"50","Arathusa","White Rum:50.0","Manzanilla Sherry:20.0","Lime Juice:20.0","Pineapple Syrup:20.0","Maraschino Cherry","","","","","","","",20.7,110
"51","Arizona Breeze","Gin:65.0","Cranberry Juice:75.0","Grapefruit Juice:50.0","","","","","","","","","",13.6,190
"52","As Night Falls","Vodka:50.0","White Grapefruit Juice:25.0","2 Coriander Leaves","7 Red Peppercorns","White Sugar:1.0(teaspoon)","small piece of Ginger","Whole Star Anise","Orange Zest","","","","",24.7,80
